unique_trs_id,Latitude,Longitude,BatteryisCharging,Battery Percentage,CO2,Preasure Hg,Humidity %,Temperature C,Speed KM,Date,Time
-LvGMKbzNprHY5DmH4KH,25.13899231,55.18997314,,,,,,,,,,
-LvHCjd_i2LZZYXlNhLs,25.12997522,55.1858417,,,,,,,,,,
-LvHDDK43al2zKVgwF6E,25.11322021,55.1695529,,,,,,,,,,
-LvHDXArEXSmXTAbY936,25.1053009,55.16198371,,,,,,,,,,
-LvHDZob-qWgobLhhavH,25.10353088,55.16023734,,,,,,,,,,
-LuU05sWxw_dv36Q1XRm,25.04058838,55.12895936,,,,,,,,,,
-LuU0AXbNSfUg6DCw9ec,25.04060364,55.12911389,,,,,,,,,,
-LuU0CqqgRFVL5oopvx2,25.04057312,55.12904595,,,,,,,,,,
-LuU0DtUIS6FmgVVEjZ8,25.04058838,55.12896111,,,,,,,,,,
-LuU3SLtY9WONaonlBax,25.04060364,55.12905651,,,,,,,,,,
-LuU3WfnZeDmHjaKkkmo,25.0406189,55.12881988,,,,,,,,,,
-LuU3YCMXnmcKmwzPTCd,25.0406189,55.12895881,,,,,,,,,,
-LuWLwNJcutfuogkPDMa,,,False,50.999999046325684,,,,,,,,
-LuWlxfmySn6v8WABMB-,25.03843689,55.12351229,,,,,,,,,,
-LuWmFKO1VqfwueTYr_P,25.04049683,55.11882553,,,,,,,,,,
-LuWmoN_FspBQ8UjHO04,25.04243469,55.11612347,,,,,,,,,,
-LuWqn10Mug1BhyuLbBy,25.04222107,55.11792205,,,,,,,,,,
-LuWy_DxuLfXSUGODj8b,25.04225159,55.11827312,,,,,,,,,,
-LuXBpWlZhIbNPa3QPFb,25.04058838,55.12891186,,,,,,,,,,
-LuXoOnfv1pNh5nPdXzh,25.0405426,55.12913386,,,,,,,,,,
-LuXoTefNXqz9OY3yKua,25.04058838,55.12908404,,,,,,,,,,
-LuXoZOH87qBdCc_D5In,25.04058838,55.12907744,,,,,,,,,,
-LuXolmAJXfcuRYq7ylr,25.04060364,55.12910508,,,,,,,,,,
-LuYY4GUrPDBX-MjDI4X,25.20988464,55.25955402,,,,,,,,,,
-LuYYD1dflQ3fiJztLmu,25.20996094,55.25987377,,,,,,,,,,
-LuYiyiAtz15RsjJgAqU,25.20991516,55.25975735,,,,,,,,,,
-LuYizFTJZSuUil5gv5k,25.20991516,55.25975735,,,,,,,,,,
-LuYizeUnqUcsY7761xF,25.20991516,55.25975735,,,,,,,,,,
-LuYzQw88mkGuWd4cypG,25.28051758,55.35643632,,,,,,,,,,
-LuYzT49BEdKp7Xc0JAu,25.28056335,55.3564048,,,,,,,,,,
-LuYzTX46X-gcosZAXYW,25.28057861,55.35645677,,,,,,,,,,
-LuYzTy4R2nE9DfxPJLW,25.28059278,55.35645677,,,,,,,,,,
-LuZ2j4W4KS64jemxAzx,25.11336555,55.18813382,,,,,,,,,,
-LuacIEKl64ShjnVfaMA,25.0436554,55.11864868,,,,,,,,,,
-Lucq3s_zJFQ06zPqtS8,25.04052734,55.12881872,,,,,,,,,,
